"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "PostCSS", "Java Properties", "Java", "HTML", "Batch", "Makefile", "Python", "toml", "Ini", "YAML", "comment", "blank", "total"
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\DataInitializationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 13, 62
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ExchangeRateService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\FirebaseService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 21, 163
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ImageHashingService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 4, 24
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\OxylabsShoppingScraper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 4, 30, 216
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\PriceApiService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ProductService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 0, 0, 2, 25, 214
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\RetailerApiService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ScheduledTasksService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 15, 72
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ShoppingService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\utils\JsonUtils.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\serpapi\GoogleSearch.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\serpapi\SerpApiSearchException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
